HH2406T , STATEUTTARPRADESH , 512 , 649
HH2406T , DistrictFarrukhabad , 191 , 10
HH2406T , DistrictKannauj , 3 , 017
HH2406T , DistrictKannauj , 697 , 267
HH2406T , DistrictKannauj , 1 , 570
HH2406T , DistrictKannauj , 750 , 70
HH2406T , DistrictKannauj , 2 , 532
HH2406T , DistrictKannauj , 446 , 78
HH2406T , DistrictKannauj , 1 , 405
HH2406T , DistrictKannauj , 681 , 67
HH2406T , DistrictKannauj , 485 , 228
HH2406T , DistrictKannauj , 251 , 189
HH2406T , DistrictKannauj , 165 , 36
HH2406T , DistrictKannauj , 69 , 3
HH2406T , DistrictEtawah , 1 , 877
HH2406T , DistrictEtawah , 517 , 221
HH2406T , DistrictEtawah , 952 , 81
HH2406T , DistrictEtawah , 408 , 30
HH2406T , DistrictEtawah , 1 , 382
HH2406T , DistrictEtawah , 214 , 27
HH2406T , DistrictEtawah , 802 , 43
HH2406T , DistrictEtawah , 366 , 27
HH2406T , DistrictEtawah , 495 , 235
HH2406T , DistrictEtawah , 303 , 194
HH2406T , DistrictEtawah , 150 , 38
HH2406T , DistrictEtawah , 42 , 3
HH2406T , DistrictAuraiya , 1 , 561
HH2406T , DistrictAuraiya , 349 , 102
HH2406T , DistrictAuraiya , 900 , 83
HH2406T , DistrictAuraiya , 312 , 18
HH2406T , DistrictAuraiya , 1 , 409
HH2406T , DistrictAuraiya , 247 , 49
HH2406T , DistrictAuraiya , 857 , 65
HH2406T , DistrictAuraiya , 305 , 17
HH2406T , DistrictAuraiya , 152 , 72
HH2406T , DistrictAuraiya , 102 , 53
HH2406T , DistrictAuraiya , 43 , 18
HH2406T , DistrictAuraiya , 7 , 1
HH2406T , DistrictKanpurDehat , 3 , 360
HH2406T , DistrictKanpurDehat , 727 , 194
HH2406T , DistrictKanpurDehat , 1 , 721
HH2406T , DistrictKanpurDehat , 912 , 96
HH2406T , DistrictKanpurDehat , 3 , 049
HH2406T , DistrictKanpurDehat , 523 , 146
HH2406T , DistrictKanpurDehat , 1 , 638
HH2406T , DistrictKanpurDehat , 888 , 94
HH2406T , DistrictKanpurDehat , 311 , 63
HH2406T , DistrictKanpurDehat , 204 , 48
HH2406T , DistrictKanpurDehat , 83 , 13
HH2406T , DistrictKanpurDehat , 24 , 2
HH2406T , DistrictKanpurNagar , 18 , 064
HH2406T , DistrictKanpurNagar , 9 , 590
HH2406T , DistrictKanpurNagar , 6 , 563
HH2406T , DistrictKanpurNagar , 1 , 911
HH2406T , DistrictKanpurNagar , 2 , 578
HH2406T , DistrictKanpurNagar , 410 , 67
HH2406T , DistrictKanpurNagar , 1 , 674
HH2406T , DistrictKanpurNagar , 494 , 12
HH2406T , DistrictKanpurNagar , 15 , 486
HH2406T , DistrictKanpurNagar , 9 , 180
HH2406T , DistrictKanpurNagar , 4 , 889
HH2406T , DistrictKanpurNagar , 1 , 417
HH2406T , DistrictJalaun , 2 , 169
HH2406T , DistrictJalaun , 755 , 153
HH2406T , DistrictJalaun , 1 , 109
HH2406T , DistrictJalaun , 305 , 23
HH2406T , DistrictJalaun , 1 , 571
HH2406T , DistrictJalaun , 395 , 61
HH2406T , DistrictJalaun , 907 , 88
HH2406T , DistrictJalaun , 269 , 22
HH2406T , DistrictJalaun , 598 , 140
HH2406T , DistrictJalaun , 360 , 92
HH2406T , DistrictJalaun , 202 , 47
HH2406T , DistrictJalaun , 36 , 1
HH2406T , DistrictJhansi , 6 , 372
HH2406T , DistrictJhansi , 2 , 501
HH2406T , DistrictJhansi , 2 , 658
HH2406T , DistrictJhansi , 1 , 213
HH2406T , DistrictJhansi , 2 , 932
HH2406T , DistrictJhansi , 385 , 78
HH2406T , DistrictJhansi , 1 , 790
HH2406T , DistrictJhansi , 757 , 38
HH2406T , DistrictJhansi , 3 , 440
HH2406T , DistrictJhansi , 2 , 116
HH2406T , DistrictJhansi , 868 , 145
HH2406T , DistrictJhansi , 456 , 35
HH2406T , DistrictLalitpur , 15 , 123
HH2406T , DistrictLalitpur , 346 , 69
HH2406T , DistrictLalitpur , 8 , 590
HH2406T , DistrictLalitpur , 6 , 187
HH2406T , DistrictLalitpur , 14 , 636
HH2406T , DistrictLalitpur , 271 , 28
HH2406T , DistrictLalitpur , 8 , 431
HH2406T , DistrictLalitpur , 5 , 934
HH2406T , DistrictLalitpur , 487 , 64
HH2406T , DistrictLalitpur , 75 , 41
HH2406T , DistrictLalitpur , 159 , 15
HH2406T , DistrictLalitpur , 253 , 8
HH2406T , DistrictHamirpur , 1 , 364
HH2406T , DistrictHamirpur , 336 , 184
HH2406T , DistrictHamirpur , 717 , 78
HH2406T , DistrictHamirpur , 311 , 19
HH2406T , DistrictHamirpur , 922 , 117
HH2406T , DistrictHamirpur , 96 , 53
HH2406T , DistrictHamirpur , 587 , 50
HH2406T , DistrictHamirpur , 239 , 14
HH2406T , DistrictHamirpur , 442 , 164
HH2406T , DistrictHamirpur , 240 , 131
HH2406T , DistrictHamirpur , 130 , 28
HH2406T , DistrictHamirpur , 72 , 5
HH2406T , DistrictMahoba , 1 , 558
HH2406T , DistrictMahoba , 218 , 72
HH2406T , DistrictMahoba , 932 , 52
HH2406T , DistrictMahoba , 408 , 10
HH2406T , DistrictMahoba , 950 , 35
HH2406T , DistrictMahoba , 58 , 12
HH2406T , DistrictMahoba , 615 , 20
HH2406T , DistrictMahoba , 277 , 3
HH2406T , DistrictMahoba , 608 , 99
HH2406T , DistrictMahoba , 160 , 60
HH2406T , DistrictMahoba , 317 , 32
HH2406T , DistrictMahoba , 131 , 7
HH2406T , DistrictBanda , 1 , 951
HH2406T , DistrictBanda , 509 , 267
HH2406T , DistrictBanda , 1 , 110
HH2406T , DistrictBanda , 332 , 28
HH2406T , DistrictBanda , 1 , 373
HH2406T , DistrictBanda , 155 , 27
HH2406T , DistrictBanda , 948 , 66
HH2406T , DistrictBanda , 270 , 25
HH2406T , DistrictBanda , 578 , 263
HH2406T , DistrictBanda , 354 , 240
HH2406T , DistrictBanda , 162 , 20
HH2406T , DistrictBanda , 62 , 3
HH2406T , DistrictChitrakoot , 1 , 144
HH2406T , DistrictChitrakoot , 125 , 65
HH2406T , DistrictChitrakoot , 715 , 28
HH2406T , DistrictChitrakoot , 304 , 15
HH2406T , DistrictChitrakoot , 1 , 032
HH2406T , DistrictChitrakoot , 74 , 23
HH2406T , DistrictChitrakoot , 669 , 23
HH2406T , DistrictChitrakoot , 289 , 15
HH2406T , DistrictChitrakoot , 112 , 47
HH2406T , DistrictChitrakoot , 51 , 42
HH2406T , DistrictChitrakoot , 46 , 5
HH2406T , DistrictChitrakoot , 15 , 
HH2406T , DistrictFatehpur , 4 , 908
HH2406T , DistrictFatehpur , 800 , 364
HH2406T , DistrictFatehpur , 2 , 869
HH2406T , DistrictFatehpur , 1 , 239
HH2406T , DistrictFatehpur , 4 , 078
HH2406T , DistrictFatehpur , 414 , 72
HH2406T , DistrictFatehpur , 2 , 546
HH2406T , DistrictFatehpur , 1 , 118
HH2406T , DistrictFatehpur , 830 , 371
HH2406T , DistrictFatehpur , 386 , 292
HH2406T , DistrictFatehpur , 323 , 60
HH2406T , DistrictFatehpur , 121 , 19
HH2406T , DistrictPratapgarh , 5 , 695
HH2406T , DistrictPratapgarh , 1 , 269
HH2406T , DistrictPratapgarh , 3 , 272
HH2406T , DistrictPratapgarh , 1 , 154
HH2406T , DistrictPratapgarh , 5 , 485
HH2406T , DistrictPratapgarh , 1 , 121
HH2406T , DistrictPratapgarh , 3 , 220
HH2406T , DistrictPratapgarh , 1 , 144
HH2406T , DistrictPratapgarh , 210 , 104
HH2406T , DistrictPratapgarh , 148 , 97
HH2406T , DistrictPratapgarh , 52 , 5
HH2406T , DistrictPratapgarh , 10 , 2
HH2406T , DistrictKaushambi , 3 , 337
HH2406T , DistrictKaushambi , 307 , 148
HH2406T , DistrictKaushambi , 2 , 113
HH2406T , DistrictKaushambi , 917 , 29
HH2406T , DistrictKaushambi , 3 , 096
HH2406T , DistrictKaushambi , 222 , 81
HH2406T , DistrictKaushambi , 2 , 037
HH2406T , DistrictKaushambi , 837 , 26
HH2406T , DistrictKaushambi , 241 , 92
HH2406T , DistrictKaushambi , 85 , 67
HH2406T , DistrictKaushambi , 76 , 22
HH2406T , DistrictKaushambi , 80 , 3
HH2406T , DistrictAllahabad , 14 , 344
HH2406T , DistrictAllahabad , 4 , 762
HH2406T , DistrictAllahabad , 6 , 087
HH2406T , DistrictAllahabad , 3 , 495
HH2406T , DistrictAllahabad , 10 , 398
HH2406T , DistrictAllahabad , 1 , 774
HH2406T , DistrictAllahabad , 5 , 440
HH2406T , DistrictAllahabad , 3 , 184
HH2406T , DistrictAllahabad , 3 , 946
HH2406T , DistrictAllahabad , 2 , 988
HH2406T , DistrictAllahabad , 647 , 308
HH2406T , DistrictAllahabad , 311 , 70
HH2406T , DistrictBaraBanki , 4 , 829
HH2406T , DistrictBaraBanki , 2 , 019
HH2406T , DistrictBaraBanki , 1 , 984
HH2406T , DistrictBaraBanki , 826 , 123
HH2406T , DistrictBaraBanki , 4 , 200
HH2406T , DistrictBaraBanki , 1 , 624
HH2406T , DistrictBaraBanki , 1 , 888
HH2406T , DistrictBaraBanki , 688 , 117
HH2406T , DistrictBaraBanki , 629 , 140
HH2406T , DistrictBaraBanki , 395 , 122
HH2406T , DistrictBaraBanki , 96 , 12
HH2406T , DistrictBaraBanki , 138 , 6
HH2406T , DistrictFaizabad , 3 , 904
HH2406T , DistrictFaizabad , 1 , 982
HH2406T , DistrictFaizabad , 1 , 533
HH2406T , DistrictFaizabad , 389 , 69
HH2406T , DistrictFaizabad , 2 , 921
HH2406T , DistrictFaizabad , 1 , 287
HH2406T , DistrictFaizabad , 1 , 287
HH2406T , DistrictFaizabad , 347 , 66
HH2406T , DistrictFaizabad , 983 , 305
HH2406T , DistrictFaizabad , 695 , 269
HH2406T , DistrictFaizabad , 246 , 33
HH2406T , DistrictFaizabad , 42 , 3
HH2406T , DistrictAmbedkarNagar , 2 , 678
HH2406T , DistrictAmbedkarNagar , 997 , 298
HH2406T , DistrictAmbedkarNagar , 1 , 301
HH2406T , DistrictAmbedkarNagar , 380 , 93
HH2406T , DistrictAmbedkarNagar , 2 , 502
HH2406T , DistrictAmbedkarNagar , 863 , 239
HH2406T , DistrictAmbedkarNagar , 1 , 268
HH2406T , DistrictAmbedkarNagar , 371 , 93
HH2406T , DistrictAmbedkarNagar , 176 , 63
HH2406T , DistrictAmbedkarNagar , 134 , 59
HH2406T , DistrictAmbedkarNagar , 33 , 4
HH2406T , DistrictAmbedkarNagar , 9 , 
HH2406T , DistrictSultanpur , 5 , 097
HH2406T , DistrictSultanpur , 1 , 611
HH2406T , DistrictSultanpur , 2 , 533
HH2406T , DistrictSultanpur , 953 , 203
HH2406T , DistrictSultanpur , 4 , 605
HH2406T , DistrictSultanpur , 1 , 295
HH2406T , DistrictSultanpur , 2 , 393
HH2406T , DistrictSultanpur , 917 , 197
HH2406T , DistrictSultanpur , 492 , 306
HH2406T , DistrictSultanpur , 316 , 259
HH2406T , DistrictSultanpur , 140 , 41
HH2406T , DistrictSultanpur , 36 , 6
HH2406T , DistrictBahraich , 6 , 691
HH2406T , DistrictBahraich , 3 , 878
HH2406T , DistrictBahraich , 2 , 264
HH2406T , DistrictBahraich , 549 , 59
HH2406T , DistrictBahraich , 5 , 602
HH2406T , DistrictBahraich , 2 , 931
HH2406T , DistrictBahraich , 2 , 197
HH2406T , DistrictBahraich , 474 , 45
HH2406T , DistrictBahraich , 1 , 089
HH2406T , DistrictBahraich , 947 , 362
